caseMasterId,crimeNo,caseNo,registeredDate,districtName,unitName,headName,subHeadName,statusName,gravityName,anomalyFlag
45000,101183140202600031,202600031,2026-07-30,Hassan,Hassan East PS,Crimes Against Body,Grievous Hurt,Under Investigation,Non-Heinous,false
44999,101013002202600178,202600178,2026-07-30,Bengaluru City,Whitefield PS,Property Crimes,HB Night,Under Investigation,Non-Heinous,false
44998,101013009202600200,202600200,2026-07-30,Bengaluru City,Indiranagar PS,Cyber Crimes,Online Fraud,Under Investigation,Non-Heinous,false
44997,101333240202600015,202600015,2026-07-30,Bidar,Bidar North PS,Crimes Against Body,Grievous Hurt,Under Investigation,Non-Heinous,false
44996,301053042202600003,202600003,2026-07-30,Mangaluru City,Mangaluru West PS,Others,Missing Person,Under Investigation,Non-Heinous,false
44995,101303212202600022,202600022,2026-07-29,Raichur,Raichur Town PS,Narcotics,NDPS Trafficking,Under Investigation,Heinous,false
44994,101233176202600017,202600017,2026-07-29,Kolar,Kolar Extension PS,Crimes Against Body,Attempt to Murder,Under Investigation,Heinous,false
44993,101223165202600020,202600020,2026-07-29,Mandya,Mandya East PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44992,101073060202600028,202600028,2026-07-29,Hubballi-Dharwad City,Hubballi-Dharwad Market PS,Cyber Crimes,Social-Media Offence,Under Investigation,Non-Heinous,false
44991,101033029202600049,202600049,2026-07-29,Mysuru City,Mysuru Extension PS,Crimes Against Body,Grievous Hurt,Under Investigation,Non-Heinous,false
44990,101033024202600070,202600070,2026-07-29,Mysuru City,Mysuru South PS,Property Crimes,Chain Snatching,Under Investigation,Non-Heinous,false
44989,101013003202600160,202600160,2026-07-29,Bengaluru City,Upparpet PS,Property Crimes,Vehicle Theft,Under Investigation,Non-Heinous,false
44988,101093074202600057,202600057,2026-07-29,Belagavi City,Belagavi South PS,Property Crimes,Robbery,Under Investigation,Heinous,false
44987,101033031202600033,202600033,2026-07-28,Mysuru City,Mysuru Camp PS,Property Crimes,HB Night,Under Investigation,Non-Heinous,false
44986,101073063202600066,202600066,2026-07-28,Hubballi-Dharwad City,Hubballi-Dharwad Camp PS,Property Crimes,Vehicle Theft,Under Investigation,Non-Heinous,false
44985,101163131202600025,202600025,2026-07-28,Tumakuru,Tumakuru Market PS,Public Order,Riot,Under Investigation,Non-Heinous,false
44984,101033031202600032,202600032,2026-07-28,Mysuru City,Mysuru Camp PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44983,101333241202600015,202600015,2026-07-28,Bidar,Bidar South PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44982,101013007202600181,202600181,2026-07-28,Bengaluru City,Banaswadi PS,Crimes Against Women,Dowry,Under Investigation,Heinous,false
44981,101203156202600010,202600010,2026-07-28,Kodagu,Kodagu Extension PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44980,101013002202600177,202600177,2026-07-28,Bengaluru City,Whitefield PS,Property Crimes,Chain Snatching,Under Investigation,Non-Heinous,false
44979,101343250202600020,202600020,2026-07-28,Chitradurga,Chitradurga Extension PS,Property Crimes,Vehicle Theft,Under Investigation,Non-Heinous,false
44978,101383279202600015,202600015,2026-07-28,Bengaluru Rural South,Bengaluru Rural South West PS,Property Crimes,Vehicle Theft,Under Investigation,Non-Heinous,false
44977,101043037202600030,202600030,2026-07-28,Mysuru District,Mysuru District South PS,Cyber Crimes,Online Fraud,Under Investigation,Non-Heinous,false
44976,101063050202600030,202600030,2026-07-28,Dakshina Kannada,Dakshina Kannada Rural PS,Cyber Crimes,Online Fraud,Under Investigation,Non-Heinous,false
44975,101343247202600021,202600021,2026-07-28,Chitradurga,Chitradurga West PS,Crimes Against Body,Murder,Under Investigation,Heinous,false
44974,101013010202600177,202600177,2026-07-28,Bengaluru City,Vijayanagar PS,Crimes Against Women,Cruelty by Husband,Under Investigation,Non-Heinous,false
44973,401013012202600007,202600007,2026-07-28,Bengaluru City,Hebbal PS,Crimes Against Body,Grievous Hurt,Under Investigation,Non-Heinous,false
44972,101143115202600037,202600037,2026-07-28,Davanagere,Davanagere Rural PS,Property Crimes,Vehicle Theft,Under Investigation,Non-Heinous,false
44971,101053040202600017,202600017,2026-07-28,Mangaluru City,Mangaluru South PS,Crimes Against Women,Molestation,Under Investigation,Non-Heinous,false
44970,101053044202600025,202600025,2026-07-28,Mangaluru City,Mangaluru Market PS,Property Crimes,Vehicle Theft,Under Investigation,Non-Heinous,false
44969,101013001202600164,202600164,2026-07-27,Bengaluru City,Peenya PS,Crimes Against Body,Murder,Under Investigation,Heinous,false
44968,101013014202600202,202600202,2026-07-27,Bengaluru City,Electronic City PS,Property Crimes,Chain Snatching,Under Investigation,Non-Heinous,false
44967,101053041202600028,202600028,2026-07-27,Mangaluru City,Mangaluru East PS,Narcotics,NDPS Possession,Under Investigation,Non-Heinous,false
44966,101013003202600159,202600159,2026-07-27,Bengaluru City,Upparpet PS,Property Crimes,Vehicle Theft,Under Investigation,Non-Heinous,false
44965,101263194202600012,202600012,2026-07-27,Bagalkot,Bagalkot North PS,Cyber Crimes,Identity Theft,Under Investigation,Non-Heinous,false
44964,401323234202600001,202600001,2026-07-27,Yadgir,Yadgir South PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44963,101013002202600176,202600176,2026-07-27,Bengaluru City,Whitefield PS,Crimes Against Women,Molestation,Under Investigation,Non-Heinous,false
44962,101323230202600013,202600013,2026-07-27,Yadgir,Yadgir Rural PS,Crimes Against Women,Molestation,Under Investigation,Non-Heinous,false
44961,101343249202600024,202600024,2026-07-27,Chitradurga,Chitradurga South PS,Public Order,Unlawful Assembly,Under Investigation,Non-Heinous,false
44960,101013004202600175,202600175,2026-07-27,Bengaluru City,Jayanagar PS,Crimes Against Body,Murder,Under Investigation,Heinous,false
44959,101013012202600156,202600156,2026-07-27,Bengaluru City,Hebbal PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44958,101013008202600171,202600171,2026-07-27,Bengaluru City,HSR Layout PS,Crimes Against Body,Murder,Under Investigation,Heinous,false
44957,801143116202600003,202600003,2026-07-27,Davanagere,Davanagere East PS,Cyber Crimes,Online Fraud,Under Investigation,Non-Heinous,false
44956,101043034202600037,202600037,2026-07-27,Mysuru District,Mysuru District East PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44955,101343244202600019,202600019,2026-07-27,Chitradurga,Chitradurga Town PS,Cyber Crimes,Social-Media Offence,Under Investigation,Non-Heinous,false
44954,301123104202600005,202600005,2026-07-27,Ballari,Ballari Extension PS,Others,Missing Person,Under Investigation,Non-Heinous,false
44953,101013010202600176,202600176,2026-07-27,Bengaluru City,Vijayanagar PS,Economic Offences,Cheating,Under Investigation,Non-Heinous,false
44952,101083069202600009,202600009,2026-07-27,Dharwad District,Dharwad District South PS,Crimes Against Body,Grievous Hurt,Under Investigation,Non-Heinous,false
44951,101283206202600030,202600030,2026-07-27,Haveri,Haveri East PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44950,301113090202600002,202600002,2026-07-27,Kalaburagi,Kalaburagi Rural PS,Others,Accidental Death,Under Investigation,Non-Heinous,false
44949,301013006202600029,202600029,2026-07-27,Bengaluru City,Yeshwanthpur PS,Others,Missing Person,Under Investigation,Non-Heinous,false
44948,101053041202600027,202600027,2026-07-27,Mangaluru City,Mangaluru East PS,Economic Offences,Cheating,Under Investigation,Non-Heinous,false
44947,101363264202600009,202600009,2026-07-27,KGF,KGF North PS,Property Crimes,Vehicle Theft,Under Investigation,Non-Heinous,false
44946,101013013202600193,202600193,2026-07-27,Bengaluru City,KR Puram PS,Cyber Crimes,Online Fraud,Under Investigation,Non-Heinous,false
44945,101223168202600013,202600013,2026-07-27,Mandya,Mandya South PS,Cyber Crimes,Online Fraud,Under Investigation,Non-Heinous,false
44944,101263198202600018,202600018,2026-07-27,Bagalkot,Bagalkot Taluk PS,Crimes Against Women,Cruelty by Husband,Under Investigation,Non-Heinous,false
44943,101273202202600022,202600022,2026-07-27,Gadag,Gadag West PS,Economic Offences,Cheating,Under Investigation,Non-Heinous,false
44942,101223169202600023,202600023,2026-07-27,Mandya,Mandya Extension PS,Crimes Against Body,Grievous Hurt,Under Investigation,Non-Heinous,false
44941,101263191202600008,202600008,2026-07-27,Bagalkot,Bagalkot Rural PS,Property Crimes,Vehicle Theft,Under Investigation,Non-Heinous,false
44940,101263194202600011,202600011,2026-07-27,Bagalkot,Bagalkot North PS,Property Crimes,Chain Snatching,Under Investigation,Non-Heinous,false
44939,101163127202600021,202600021,2026-07-27,Tumakuru,Tumakuru West PS,Narcotics,NDPS Possession,Under Investigation,Non-Heinous,false
44938,101013002202600175,202600175,2026-07-27,Bengaluru City,Whitefield PS,Property Crimes,Vehicle Theft,Under Investigation,Non-Heinous,false
44937,101373270202600014,202600014,2026-07-27,Vijayanagara,Vijayanagara Rural PS,Property Crimes,Vehicle Theft,Under Investigation,Non-Heinous,false
44936,101053043202600030,202600030,2026-07-27,Mangaluru City,Mangaluru Town PS,Crimes Against Women,Cruelty by Husband,Under Investigation,Non-Heinous,false
44935,101273201202600022,202600022,2026-07-27,Gadag,Gadag East PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44934,101113091202600020,202600020,2026-07-27,Kalaburagi,Kalaburagi East PS,Crimes Against Body,Grievous Hurt,Under Investigation,Non-Heinous,false
44933,101293211202600031,202600031,2026-07-27,Uttara Kannada,Uttara Kannada West PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44932,401263192202600001,202600001,2026-07-27,Bagalkot,Bagalkot East PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44931,301013012202600019,202600019,2026-07-27,Bengaluru City,Hebbal PS,Others,Missing Person,Under Investigation,Non-Heinous,false
44930,101033029202600048,202600048,2026-07-27,Mysuru City,Mysuru Extension PS,Cyber Crimes,Online Fraud,Under Investigation,Non-Heinous,false
44929,301253182202600002,202600002,2026-07-27,Ramanagara,Ramanagara Rural PS,Others,Accidental Death,Under Investigation,Non-Heinous,false
44928,101293211202600030,202600030,2026-07-27,Uttara Kannada,Uttara Kannada West PS,Property Crimes,Vehicle Theft,Under Investigation,Non-Heinous,false
44927,101073062202600032,202600032,2026-07-27,Hubballi-Dharwad City,Hubballi-Dharwad Rural PS,Narcotics,NDPS Possession,Under Investigation,Non-Heinous,false
44926,101093077202600025,202600025,2026-07-27,Belagavi City,Belagavi Town PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44925,101373269202600014,202600014,2026-07-27,Vijayanagara,Vijayanagara Town PS,Crimes Against Body,Murder,Under Investigation,Heinous,false
44924,101013012202600155,202600155,2026-07-27,Bengaluru City,Hebbal PS,Crimes Against Body,Murder,Under Investigation,Heinous,false
44923,101113093202600014,202600014,2026-07-27,Kalaburagi,Kalaburagi North PS,Narcotics,NDPS Possession,Under Investigation,Non-Heinous,false
44922,101013009202600199,202600199,2026-07-27,Bengaluru City,Indiranagar PS,Crimes Against Body,Grievous Hurt,Under Investigation,Non-Heinous,false
44921,101043038202600030,202600030,2026-07-27,Mysuru District,Mysuru District Extension PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44920,101373271202600018,202600018,2026-07-27,Vijayanagara,Vijayanagara East PS,Crimes Against Body,Kidnapping,Under Investigation,Heinous,false
44919,101033030202600042,202600042,2026-07-27,Mysuru City,Mysuru Rural PS,Property Crimes,Vehicle Theft,Under Investigation,Non-Heinous,false
44918,101103082202600024,202600024,2026-07-27,Belagavi District,Belagavi District Rural PS,Crimes Against Women,Rape,Under Investigation,Heinous,false
44917,301013001202600026,202600026,2026-07-27,Bengaluru City,Peenya PS,Others,Accidental Death,Under Investigation,Non-Heinous,false
44916,101013010202600175,202600175,2026-07-27,Bengaluru City,Vijayanagar PS,Crimes Against Body,Kidnapping,Under Investigation,Heinous,false
44915,101013011202600148,202600148,2026-07-27,Bengaluru City,Basavanagudi PS,Crimes Against Body,Attempt to Murder,Under Investigation,Heinous,false
